filename,WMC,DIT,NOC,CBO, RFC,NPM,bug
apache.log4j.BasicConfigurator,14,1,1.1,11,42,9,1.0
apache.log4j.DefaultCategoryFactory,2,1,0.0,2,4,1,0.0
apache.log4j.AppenderSkeleton,19,1,2.0,9,31,18,0.0
apache.log4j.AsyncAppender,12,0,0.0,9,39,12,5.0
apache.log4j.NDC,12,1,0.0,2,41,9,1.0
apache.log4j.Category,49,1,0.0,12,97,42,9.0
apache.log4j.SimpleLayout,6,0,0.0,3,12,6,0.0
apache.log4j.CategoryKey,4,1,0.0,0,11,2,0.0
apache.log4j.Layout,10,1,3.0,2,13,9,0.0
apache.log4j.PropertyWatchdog,2,0,0.0,4,5,1,0.0
apache.log4j.TTCCLayout,8,0,0.0,5,25,8,0.0
apache.log4j.PropertyConfigurator,19,0,0.0,14,80,9,2.0
apache.log4j.ProvisionNode,1,4,0.0,1,3,0,0.0
apache.log4j.Hierarchy,12,1,0.0,7,43,9,2.0
apache.log4j.Dispatcher,2,2,0.0,3,11,1,0.0
apache.log4j.HTMLLayout,10,0,0.0,6,33,9,2.0
apache.log4j.Priority,10,1,0.0,0,13,8,1.0
apache.log4j.FileAppender,20,0,1.0,8,47,15,1.0
apache.log4j.PatternLayout,9,0,0.0,4,18,8,1.0
apache.log4j.RollingFileAppender,13,0,0.0,8,41,11,1.0
apache.log4j.gui.TextPaneAppender,23,0,0.0,8,73,13,0.0
apache.log4j.helpers.OnlyOnceErrorHandler,6,1,0.0,2,9,6,1.0
apache.log4j.helpers.BoundedFIFO,8,1,0.0,1,14,8,0.0
apache.log4j.helpers.TracerPrintWriter,5,3,0.0,2,9,5,0.0
apache.log4j.helpers.PatternConverter,6,1,0.0,2,10,2,0.0
apache.log4j.helpers.SyslogWriter,5,2,0.0,1,18,5,0.0
apache.log4j.helpers.AbsoluteTimeDateFormat,4,3,2.0,0,12,4,0.0
apache.log4j.helpers.Loader,4,1,0.0,0,15,4,3.0
apache.log4j.helpers.FileWatchdog,5,2,0.0,1,17,2,2.0
apache.log4j.helpers.CyclicBuffer,7,1,0.0,1,13,7,1.0
apache.log4j.helpers.DateTimeDateFormat,4,0,0.0,1,15,4,0.0
apache.log4j.helpers.SyslogQuietWriter,4,0,0.0,2,10,4,0.0
apache.log4j.helpers.PatternParser,8,1,0.0,14,42,2,1.0
apache.log4j.helpers.QuietWriter,4,3,2.0,1,12,4,0.0
apache.log4j.helpers.LogLog,9,1,0.0,1,18,8,2.0
apache.log4j.helpers.CountingQuietWriter,4,0,0.0,2,8,4,0.0
apache.log4j.helpers.NullEnumeration,5,1,0.0,0,7,3,0.0
apache.log4j.helpers.ISO8601DateFormat,4,0,0.0,1,12,4,0.0
apache.log4j.helpers.RelativeTimeDateFormat,3,3,0.0,0,7,3,0.0
apache.log4j.helpers.AppenderAttachableImpl,8,1,0.0,3,22,8,0.0
apache.log4j.helpers.FormattingInfo,3,1,0.0,1,10,1,0.0
apache.log4j.helpers.OptionConverter,13,1,0.0,5,56,10,3.0
apache.log4j.helpers.DateLayout,8,0,0.0,6,24,8,0.0
apache.log4j.net.SocketAppender,18,0,0.0,6,48,10,1.0
apache.log4j.net.SMTPAppender,16,0,0.0,9,65,8,3.0
apache.log4j.net.SimpleSocketServer,6,1,0.0,4,31,2,0.0
apache.log4j.net.SyslogAppender,15,0,0.0,10,38,11,2.0
apache.log4j.net.SocketServer,8,1,0.0,6,50,2,1.0
apache.log4j.net.DefaultEvaluator,2,1,0.0,3,4,1,0.0
apache.log4j.net.SyslogTracerPrintWriter,5,0,0.0,2,12,2,0.0
apache.log4j.net.JMSSink,5,1,0.0,7,31,2,0.0
apache.log4j.net.JMSAppender,12,0,0.0,5,37,7,0.0
apache.log4j.net.SocketNode,4,1,0.0,4,24,2,0.0
apache.log4j.nt.NTEventLogAppender,16,0,0.0,5,28,10,1.0
apache.log4j.or.MessageRenderer,2,1,0.0,2,22,2,0.0
apache.log4j.or.ThreadGroupRenderer,2,1,0.0,2,16,2,0.0
apache.log4j.or.DefaultRenderer,2,1,0.0,1,4,1,0.0
apache.log4j.or.RendererMap,9,1,0.0,2,19,7,0.0
apache.log4j.spi.RootCategory,5,0,0.0,3,8,3,0.0
apache.log4j.spi.LoggingEvent,9,1,0.0,4,27,6,2.0
apache.log4j.spi.Filter,5,1,0.0,2,6,5,1.0
apache.log4j.spi.LocationInfo,7,1,0.0,2,22,5,1.0
apache.log4j.varia.StringMatchFilter,4,0,0.0,3,8,4,0.0
apache.log4j.varia.PriorityMatchFilter,4,0,0.0,4,8,4,1.0
apache.log4j.varia.Roller,7,1,0.0,2,32,1,0.0
apache.log4j.varia.HUP,2,2,0.0,3,15,1,0.0
apache.log4j.varia.ResilientFileAppender,5,0,0.0,3,18,3,0.0
apache.log4j.varia.HUPNode,2,1,0.0,3,15,2,0.0
apache.log4j.varia.DenyAllFilter,4,0,0.0,2,5,4,0.0
apache.log4j.varia.ExternallyRolledFileAppender,4,0,0.0,5,19,4,0.0
apache.log4j.xml.XMLLayout,6,0,0.0,5,24,6,1.0
apache.log4j.xml.DOMConfigurator,22,0,0.0,15,95,8,3.0
apache.log4j.xml.XMLWatchdog,2,0,0.0,4,6,1,0.0
