Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Random Forest,ant,ant-1.6.csv,ant-1.7.csv,0,0.75,0.67,0.71,0.83,0.59,0.78
Random Forest,camel,camel-1.2.csv,camel-1.4.csv,0,0.75,0.63,0.69,0.65,0.31,0.66
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.3,0.38,0.33,0.79,0.21,0.62
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.83,0.76,0.79,0.82,0.64,0.82
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.77,0.42,0.54,0.57,0.24,0.61
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.52,0.78,0.62,0.47,-0.17,0.44
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.69,0.05,0.09,0.37,0.02,0.5
Naive Bayes,ant,ant-1.6.csv,ant-1.7.csv,0,0.75,0.49,0.59,0.79,0.48,0.71
Naive Bayes,camel,camel-1.2.csv,camel-1.4.csv,0,0.81,0.41,0.55,0.59,0.28,0.63
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.15,0.88,0.25,0.26,0.04,0.52
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.89,0.64,0.74,0.81,0.62,0.79
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.79,0.44,0.57,0.59,0.27,0.63
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.52,0.8,0.63,0.47,-0.2,0.43
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.71,0.15,0.24,0.41,0.06,0.52
Logistic Regression,ant,ant-1.6.csv,ant-1.7.csv,0,0.81,0.43,0.56,0.79,0.48,0.69
Logistic Regression,camel,camel-1.2.csv,camel-1.4.csv,0,0.65,0.78,0.71,0.61,0.15,0.57
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.24,0.29,0.26,0.77,0.13,0.57
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.81,0.68,0.74,0.79,0.57,0.78
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.7,0.56,0.62,0.59,0.2,0.6
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.54,0.85,0.66,0.51,-0.08,0.47
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.7,0.06,0.11,0.38,0.03,0.51
