Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountDeclMethodAll,CountDeclMethodPublic,bug
bsh.ASCII_UCodeESC_CharStream,91,1.0,0.0,0.0,27.0,21.0,0.0
bsh.BSHAllocationExpression,20,2.0,0.0,15.0,27.0,1.0,0.0
bsh.BSHAmbiguousName,7,2.0,0.0,7.0,26.0,6.0,0.0
bsh.BSHArguments,3,2.0,0.0,3.0,21.0,1.0,0.0
bsh.BSHArrayDimensions,11,2.0,0.0,6.0,23.0,3.0,0.0
bsh.BSHArrayInitializer,12,2.0,0.0,5.0,23.0,2.0,0.0
bsh.BSHAssignment,30,2.0,0.0,7.0,22.0,1.0,0.0
bsh.BSHBinaryExpression,23,2.0,0.0,8.0,23.0,1.0,0.0
bsh.BSHBlock,7,2.0,0.0,7.0,22.0,2.0,0.0
bsh.BSHCastExpression,27,2.0,0.0,11.0,25.0,6.0,0.0
bsh.BSHForStatement,17,2.0,0.0,8.0,21.0,1.0,0.0
bsh.BSHFormalParameter,3,2.0,0.0,4.0,21.0,1.0,0.0
bsh.BSHFormalParameters,3,2.0,0.0,4.0,21.0,1.0,0.0
bsh.BSHIfStatement,9,2.0,0.0,5.0,22.0,2.0,0.0
bsh.BSHImportDeclaration,4,2.0,0.0,7.0,21.0,1.0,0.0
bsh.BSHLHSPrimaryExpression,5,2.0,0.0,6.0,21.0,1.0,0.0
bsh.BSHLHSPrimarySuffix,15,2.0,0.0,11.0,24.0,1.0,0.0
bsh.BSHLiteral,21,2.0,0.0,5.0,24.0,2.0,0.0
bsh.BSHMethodDeclaration,9,2.0,0.0,8.0,22.0,2.0,0.0
bsh.BSHMethodInvocation,7,2.0,0.0,9.0,21.0,1.0,0.0
bsh.BSHPrimaryExpression,5,2.0,0.0,5.0,21.0,1.0,0.0
bsh.BSHPrimarySuffix,27,2.0,0.0,12.0,25.0,1.0,0.0
bsh.BSHPrimitiveType,2,2.0,0.0,0.0,21.0,1.0,0.0
bsh.BSHReturnStatement,3,2.0,0.0,5.0,21.0,1.0,0.0
bsh.BSHReturnType,3,2.0,0.0,4.0,21.0,1.0,0.0
bsh.BSHStatementExpressionList,3,2.0,0.0,4.0,21.0,1.0,0.0
bsh.BSHSwitchLabel,3,2.0,0.0,3.0,21.0,2.0,0.0
bsh.BSHSwitchStatement,11,2.0,0.0,6.0,21.0,2.0,0.0
bsh.BSHTernaryExpression,3,2.0,0.0,4.0,21.0,1.0,0.0
bsh.BSHThrowStatement,3,2.0,0.0,4.0,21.0,1.0,0.0
bsh.BSHTryStatement,15,2.0,0.0,9.0,21.0,1.0,0.0
bsh.BSHType,10,2.0,0.0,5.0,25.0,5.0,0.0
bsh.BSHTypedVariableDeclaration,10,2.0,0.0,8.0,22.0,1.0,0.0
bsh.BSHUnaryExpression,18,2.0,0.0,7.0,24.0,1.0,0.0
bsh.BSHVariableDeclarator,4,2.0,0.0,6.0,21.0,1.0,0.0
bsh.BSHWhileStatement,11,2.0,0.0,6.0,21.0,1.0,0.0
bsh.BlockNameSpace,8,2.0,0.0,3.0,59.0,5.0,0.0
bsh.BshClassManager,20,1.0,0.0,3.0,24.0,22.0,0.0
bsh.BshMethod,17,1.0,0.0,11.0,4.0,3.0,0.0
bsh.CallStack,13,1.0,0.0,2.0,10.0,10.0,0.0
bsh.Capabilities,8,1.0,0.0,0.0,5.0,5.0,0.0
bsh.ClassPathException,1,3.0,0.0,0.0,16.0,1.0,0.0
bsh.CommandLineReader,10,2.0,0.0,0.0,4.0,4.0,0.0
bsh.EvalError,21,2.0,3.0,1.0,15.0,11.0,1.0
bsh.Interpreter,131,1.0,0.0,18.0,53.0,45.0,0.0
bsh.InterpreterError,1,2.0,0.0,0.0,1.0,1.0,0.0
bsh.JJTParserState,17,1.0,0.0,1.0,12.0,0.0,0.0
bsh.JThis,92,2.0,0.0,5.0,96.0,84.0,0.0
bsh.LHS,31,1.0,0.0,8.0,8.0,3.0,0.0
bsh.Name,95,1.0,0.0,15.0,18.0,9.0,0.0
bsh.NameSpace,158,1.0,1.0,16.0,52.0,38.0,0.0
bsh.ParseException,37,3.0,0.0,1.0,26.0,10.0,0.0
bsh.Parser,2791,1.0,0.0,44.0,402.0,80.0,0.0
bsh.ParserTokenManager,680,1.0,0.0,3.0,49.0,6.0,0.0
bsh.Primitive,211,1.0,0.0,4.0,43.0,28.0,0.0
bsh.Reflect,152,1.0,0.0,14.0,36.0,14.0,0.0
bsh.ReflectError,2,2.0,0.0,0.0,2.0,2.0,0.0
bsh.ReflectManager,4,1.0,1.0,2.0,3.0,3.0,0.0
bsh.ReturnControl,1,1.0,0.0,0.0,1.0,1.0,0.0
bsh.SimpleNode,30,1.0,35.0,6.0,19.0,19.0,0.0
bsh.StringUtil,15,1.0,0.0,0.0,4.0,4.0,0.0
bsh.TargetError,15,3.0,0.0,4.0,26.0,11.0,0.0
bsh.This,15,1.0,2.0,8.0,10.0,7.0,0.0
bsh.Token,2,1.0,0.0,0.0,2.0,2.0,0.0
bsh.TokenMgrError,18,2.0,0.0,0.0,6.0,4.0,0.0
bsh.XThis,8,2.0,0.0,3.0,14.0,2.0,0.0
bsh.commands.dir,18,1.0,0.0,2.0,4.0,4.0,0.0
gnu.regexp.CharIndexedCharArray,5,1.0,0.0,0.0,4.0,3.0,0.0
